document_id,title,author,datepub,citations,score_v1,N_qual_v1,N_total,text_length,Od_raw,Od,Id,score_v2,N_total_v2,T_total_v2,log_cit
427,Immune reaction and colorectal cancer: friends or foes?,"Formica V, Cereda V, Nardecchia A, Tesauro M, Roselli M.",2014,6282,0.7936033949530814,565,6221,79481,4.465430503387122,0.9463321429620061,0.8026121672821004,0.9032161502580345,6221,6644,8.745602852402946
523,Seizures and COVID-19: Results from the Spanish Society of Neurology's COVID-19 registry.,"Fernández SF, Pérez Sánchez JR, Pérez GH, Pérez MR, Castro CG, García-Azorín D, Ezpeleta D.",2022,23932,0.76394064523999,194,2672,38518,4.216233682500926,0.8935213419989911,0.9253506574224185,0.9030701366260193,2672,2893,10.083013538694615
4989,COVID-19 radiology CT personnel management.,"Özdemir Hİ, Savaş R, Özbek SS.",2021,14028,0.8010968856858048,206,1469,19566,4.312153310008972,0.9138490184868358,0.8763316745552039,0.9025938153073462,1469,1584,9.548881894718772
4750,Radiology department strategies to protect radiologic technologists against COVID19: Experience from Wuhan.,"Zhao Y, Xiang C, Wang S, Peng C, Zou Q, Hu J.",2020,14028,0.7772646123995198,297,1636,22567,4.310348655716752,0.9134665688299961,0.8763316745552039,0.9023261005475585,1636,1909,9.548881894718772
514,Oral Cancer: A Historical Review.,"Inchingolo F, Santacroce L, Ballini A, Topi S, Dipalma G, Haxhirexha K, Bottalico L, Charitos IA.",2020,3482,0.7797260562864659,698,8546,108940,4.56783629767794,0.9680343942207477,0.7484702252038123,0.902165143515667,8546,9107,8.155649270366002
3169,[Telemedicine in the fight against SARS-COV-2-opportunities and possible applications in otorhinolaryngology : Narrative,"Hagge D, Knopf A, Hofauer B.",2020,4914,0.7840633749545127,276,3770,38577,4.50340011401996,0.9543788168426883,0.7800767180898632,0.9020881872168408,3770,3936,8.500047032581268
1599,A long-term retrospective analysis of oncologic and fertility outcomes in cervical cancer patients undergoing radical tr,"Liu Y, Zhang X, Xin W, Ding Y, Zhang Y, Zhang N, Hua K.",2025,53767,0.7911628835902557,395,3313,48258,4.051402683635424,0.8585896882055573,0.9996337617416218,0.9009029102663766,3313,3675,10.892433773649802
3061,Pediatric otolaryngology workflow changes in a community hospital setting to decrease exposure to novel coronavirus.,"Mukerji SS, Liu YC, Musso MF.",2020,4361,0.8152709192176762,108,1984,23765,4.514162248247275,0.9566595719767016,0.7691225664555288,0.9003984703203498,1984,2058,8.380685946761574
314,"Recommendations for the use of biomarkers for head and neck cancer, including salivary gland tumours: a consensus of the","Trigo J, García-Cosío M, García-Castaño A, Gomà M, Mesia-Nin R, Ruiz-Bravo E, Soria-Rivas A, Castillo P, Braña-García I, Alberola-Ferranti M.",2022,53473,0.7115997950308777,654,4712,67199,4.039926751268481,0.8561576620748048,0.9991305746437947,0.8990495358455017,4712,5427,10.886950833448497
1143,Achieving flexible competence: bridging the investment dichotomy between infectious diseases and cancer.,"Coleman CN, Mansoura MK, Marinissen MJ, Grover S, Dosanjh M, Brereton HD, Roth L, Wendling E, Pistenmaa DA, O'Brien DM.",2020,14025,0.7768558348478972,232,3355,42120,4.2858771290267965,0.9082804636433872,0.8763120474176344,0.8986899387756614,3355,3573,9.548668029096856
4561,Accuracy of Narrow-Band Imaging International Colorectal Endoscopic Classification for Predicting the Histology of Colon,"Mena-Ramírez R, Macari-Jorge A, Juárez-Hernández E, Uribe M, López-Méndez I.",2023,40196,0.7241336234683722,402,1799,30235,4.087436157998891,0.8662260482355433,0.972938203971295,0.8982396949562689,1799,2208,10.601547644956717
6012,Intraoperative Sepsis: A Simulation Case for Anesthesiology Residents.,"Webb TT, Boyer TJ, Mitchell SA, Eddy C.",2020,11748,0.6491664140727686,236,1950,26510,4.311095830185648,0.9136249130737998,0.8600549146158978,0.8975539135364292,1950,2159,9.371523409567573
1059,A Study of the Educational Needs of Clinical Nurses Based on the Experiences in Training Programs for Nursing COVID-19 P,"Han JW, Joung J, Kang JS, Lee H.",2022,11897,0.6633924467535062,473,3993,60946,4.307425598812441,0.912847102755637,0.8612114580513329,0.8973564093443458,3993,4590,9.38412559774785
1628,Assessment of magnetic resonance image compilation (MAGiC) abilities of therapeutic selection and prediction on recurren,"Ou X, Liu H, Liu WV, Li Y, Liu W, Bai Y, Chen J, Deng Z, Li W, Pei Y.",2025,53767,0.7102449512967709,553,3682,52584,4.021119510716845,0.8521719553795756,0.9996337617416218,0.8964104972881894,3682,4295,10.892433773649802
333,How Technology Is Improving the Multidisciplinary Care of Sarcoma.,"Schaefer IM, Hong K, Kalbasi A.",2020,8457,0.8457314199339967,579,6141,78237,4.36237089202539,0.9244913321378758,0.8298931498364135,0.8961118774474371,6141,6913,9.042868018032435
2898,The impact of the COVID-19 shutdown on US pediatric ophthalmologists.,"Robbins SL, Packwood EA, Siegel LM; AAPOS Socioeconomic Committee.",2020,2341,0.7841417559163126,164,2143,28525,4.5956154377440335,0.9739214622488914,0.7120464673350929,0.8953589637747519,2143,2260,7.758760544157663
4312,Research on multi-model imaging machine learning for distinguishing early hepatocellular carcinoma.,"Ma Y, Gong Y, Qiu Q, Ma C, Yu S.",2024,53813,0.7529605684802894,413,2480,37066,4.0118495799863005,0.8502074340626069,0.999712242687303,0.8950588766500156,2480,2817,10.893288935346058
7091,Lessons learned from a study of a complementary therapy for self-managing hypertension and stress in women.,"Kretzer K, Evelo AJ, Durham RL.",2013,4484,0.8211695001924019,137,2615,35773,4.470409981157153,0.9473874140865642,0.771674580451535,0.8946735639960555,2615,2730,8.408493774492896
4954,Publication timeline of chest imaging reporting in children with coronavirus disease 2019 (COVID-19): a systematic revie,"Ramirez-Suarez KI, Miranda-Schaeubinger M, Rapp JB, Sodhi KS, Saul D, Andronikou S.",2022,14028,0.7742206082371041,429,2688,37694,4.25176075949398,0.9010503842444165,0.8763316745552039,0.8936347713376528,2688,2995,9.548881894718772
1003,COVID-19 preventive measures showing an unintended decline in infectious diseases in Taiwan.,"Galvin CJ, Li YJ, Malwade S, Syed-Abdul S.",2020,15345,0.778919338578372,40,769,9678,4.234764887607444,0.8974485501431595,0.8845663242183678,0.8935838823657221,769,812,9.638610132737611
4418,Workgroup report: Review of genomics data based on experience with mock submissions--view of the CDER Pharmacology Toxic,"Leighton JK, Brown P, Ellis A, Harlow P, Harrouk W, Pine PS, Robison T, Rosario L, Thompson K.",2006,1373,0.8047258514845328,189,2960,38781,4.677430911711687,0.9912601293154897,0.6631057278038932,0.8928138088620107,2960,3097,7.2254814727822945
6529,Efficacy of the complementary therapies in the management of cancer pain in palliative care: A systematic review.,"Lopes-Júnior LC, Rosa GS, Pessanha RM, Schuab SIPC, Nunes KZ, Amorim MHC.",2020,40232,0.7074855524389394,649,4566,64460,4.048006844531153,0.8578700282098946,0.9730203582986638,0.8924151272365254,4566,5142,10.60244283337905
